epoch,loss,L_cp,L_shock,L_lb,L_fric,lr,val_R2_Cp,val_R2_Cfx,val_R2_Cfy,val_R2_Cfz,is_best
72,0.3426,0.0527,0.0975,1.3791,0.098,0.000727,0.9621,0.9131,0.8943,0.903,
73,0.3429,0.0529,0.0973,1.3794,0.098,0.00072,,,,,
74,0.3425,0.0534,0.0977,1.3794,0.0977,0.000713,0.9606,0.9142,0.8954,0.903,
75,0.3409,0.0528,0.098,1.3793,0.0974,0.000705,,,,,
76,0.3402,0.0526,0.0969,1.3794,0.0972,0.000698,0.9614,0.9127,0.8957,0.9048,
77,0.3388,0.0524,0.0967,1.3791,0.0968,0.000691,,,,,
78,0.3385,0.0516,0.0966,1.3799,0.097,0.000683,0.9626,0.9143,0.8949,0.905,
79,0.3382,0.0522,0.0964,1.3791,0.0967,0.000676,,,,,
80,0.3373,0.0523,0.0962,1.379,0.0964,0.000668,0.9621,0.9141,0.8956,0.904,
81,0.3361,0.0513,0.0957,1.379,0.0963,0.000661,,,,,
82,0.337,0.0519,0.0956,1.379,0.0964,0.000653,0.9627,0.9141,0.8977,0.9055,
83,0.3345,0.0511,0.0953,1.3792,0.0959,0.000646,,,,,
84,0.3333,0.0507,0.0956,1.3795,0.0956,0.000638,0.9613,0.9159,0.8983,0.9056,
85,0.333,0.0506,0.0954,1.3794,0.0955,0.00063,,,,,
86,0.3334,0.051,0.0949,1.3791,0.0956,0.000623,0.9618,0.9156,0.9005,0.9055,
87,0.3317,0.0502,0.0939,1.3792,0.0953,0.000615,,,,,
88,0.3326,0.0509,0.0945,1.3785,0.0954,0.000607,0.9611,0.9145,0.8996,0.9061,
89,0.3315,0.0504,0.0939,1.3786,0.0952,0.000599,,,,,
90,0.3304,0.0503,0.0942,1.3787,0.0948,0.000592,0.9617,0.9163,0.8997,0.9062,
91,0.3296,0.0498,0.0936,1.3786,0.0947,0.000584,,,,,
92,0.3291,0.0498,0.094,1.3794,0.0946,0.000576,0.9619,0.9168,0.9005,0.9073,
93,0.3291,0.0497,0.0934,1.3789,0.0946,0.000568,,,,,
94,0.326,0.0488,0.0928,1.3792,0.0939,0.00056,0.9618,0.9157,0.8977,0.9058,
95,0.3276,0.0495,0.0931,1.379,0.0942,0.000552,,,,,
96,0.3261,0.0492,0.0926,1.3787,0.0938,0.000544,0.9627,0.9155,0.8978,0.9041,
97,0.3262,0.0492,0.0925,1.379,0.0938,0.000536,,,,,
98,0.326,0.0493,0.0924,1.3795,0.0938,0.000528,0.9633,0.9166,0.8991,0.9063,
99,0.3246,0.049,0.0921,1.379,0.0934,0.00052,,,,,
100,0.3229,0.0481,0.0918,1.3787,0.0931,0.000512,0.9618,0.9164,0.9016,0.9075,
101,0.3241,0.0488,0.0924,1.3789,0.0933,0.000504,,,,,
102,0.3231,0.0483,0.0913,1.3788,0.0932,0.000497,0.963,0.9165,0.8983,0.9066,
103,0.3223,0.0487,0.0918,1.3789,0.0927,0.000489,,,,,
104,0.322,0.0482,0.0915,1.379,0.0928,0.000481,0.9636,0.9168,0.9003,0.9074,
105,0.3211,0.0477,0.0913,1.3791,0.0927,0.000473,,,,,
106,0.3206,0.048,0.0911,1.3788,0.0924,0.000465,0.9639,0.918,0.9006,0.9071,
107,0.3195,0.0474,0.0906,1.3787,0.0923,0.000457,,,,,
108,0.3198,0.048,0.0906,1.379,0.0922,0.000449,0.9624,0.9181,0.9004,0.9073,
109,0.3184,0.0472,0.0902,1.379,0.092,0.000441,,,,,
110,0.3188,0.0475,0.0906,1.3788,0.092,0.000433,0.9638,0.9188,0.9018,0.908,
111,0.3187,0.0476,0.0902,1.379,0.092,0.000425,,,,,
112,0.3172,0.0471,0.0899,1.3792,0.0917,0.000417,0.9636,0.9172,0.9026,0.9077,
113,0.3168,0.0468,0.0897,1.3788,0.0916,0.000409,,,,,
114,0.3166,0.047,0.0897,1.3787,0.0915,0.000402,0.9635,0.9172,0.9012,0.9076,
115,0.3159,0.0468,0.0896,1.3788,0.0913,0.000394,,,,,
116,0.3155,0.0468,0.0892,1.379,0.0912,0.000386,0.963,0.9179,0.9015,0.9077,
117,0.3154,0.0469,0.0895,1.3787,0.0911,0.000378,,,,,
118,0.3148,0.0464,0.0891,1.3786,0.0911,0.000371,0.9643,0.9179,0.9028,0.9079,
119,0.3141,0.0464,0.089,1.3785,0.0909,0.000363,,,,,
120,0.3132,0.046,0.089,1.3789,0.0907,0.000355,0.963,0.9178,0.9022,0.9075,
121,0.3136,0.0463,0.089,1.3789,0.0907,0.000348,,,,,
122,0.3127,0.046,0.0887,1.3786,0.0905,0.00034,0.9631,0.9186,0.9045,0.9083,
123,0.3119,0.0458,0.0882,1.3788,0.0904,0.000333,,,,,
124,0.3116,0.0458,0.0885,1.3787,0.0902,0.000325,0.9628,0.9179,0.9007,0.9072,
125,0.3114,0.0457,0.088,1.379,0.0902,0.000318,,,,,
126,0.3105,0.0454,0.088,1.3788,0.09,0.00031,0.9636,0.9184,0.9027,0.9085,
127,0.3105,0.0455,0.0881,1.3788,0.09,0.000303,,,,,
128,0.3102,0.0455,0.0878,1.3787,0.0899,0.000296,0.9641,0.9193,0.9042,0.9087,
129,0.3098,0.0453,0.0876,1.3787,0.0899,0.000288,,,,,
130,0.3092,0.0452,0.0874,1.3785,0.0897,0.000281,0.9639,0.9191,0.9034,0.9087,
131,0.3087,0.0452,0.0875,1.3785,0.0895,0.000274,,,,,
132,0.3084,0.0448,0.0873,1.3789,0.0896,0.000267,0.9642,0.9183,0.9023,0.9079,
133,0.3082,0.0451,0.0872,1.3788,0.0894,0.00026,,,,,
134,0.3078,0.0449,0.087,1.3785,0.0893,0.000253,0.9643,0.9195,0.903,0.9077,
